Invoice number,5535356085,
Invoice date,2026-03-31,
Due date,,
Billing ID,7012-3354-7818,
Billing account ID,016C53-111148-0513AB,
Currency,USD,
Currency exchange rate,1,
Total amount due,$0.00,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Input - Predictions,F91E-007E-3BA1,Default,,Usage,2026-03-05,2026-03-19,"37,790",count,0.003772,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Thinking Text Output - Predictions,ACF4-228D-37B4,Default,,Usage,2026-03-05,2026-03-19,"4,266",count,0.001702,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Output - Predictions,2D6E-6AC5-B1FD,Default,,Usage,2026-03-05,2026-03-19,"1,211",count,0.000478,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Output - Predictions,2D6E-6AC5-B1FD,,PROMOTION,Usage,2026-03-05,2026-03-19,,,-0.000478,-0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Thinking Text Output - Predictions,ACF4-228D-37B4,,PROMOTION,Usage,2026-03-05,2026-03-19,,,-0.001702,-0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Input - Predictions,F91E-007E-3BA1,,PROMOTION,Usage,2026-03-05,2026-03-19,,,-0.003772,-0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Output - Predictions,0127-F0B7-365E,,PROMOTION,Usage,2026-03-05,2026-03-19,,,-0.015777,-0.02
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Input Caching,E5C2-A033-7712,,PROMOTION,Usage,2026-03-05,2026-03-06,,,-0.016300,-0.02
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Input Caching,8308-9CED-8950,,PROMOTION,Usage,2026-03-05,2026-03-09,,,-0.085761,-0.09
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Input - Predictions,7EBE-3B46-F75C,,PROMOTION,Usage,2026-03-05,2026-03-19,,,-0.117415,-0.12
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Output - Predictions,2737-2D33-D986,,PROMOTION,Usage,2026-03-05,2026-03-09,,,-0.180552,-0.18
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Input - Predictions,EAC4-305F-1249,,PROMOTION,Usage,2026-03-05,2026-03-09,,,-0.289644,-0.29
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to APAC,094A-C58C-9FD6,,PROMOTION,Usage,2026-03-04,2026-03-27,,,-0.000020,-0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to APAC,094A-C58C-9FD6,Default,,Usage,2026-03-03,2026-03-27,0,gibibyte,0.000020,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to EMEA,7EB3-F1EB-EC4A,Default,,Usage,2026-03-02,2026-03-28,0,gibibyte,0.000025,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Network Inter Connect Data Transfer Out Americas,AFEC-8830-099C,Default,,Usage,2026-03-02,2026-03-31,0,gibibyte,0.000016,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,Default,,Usage,2026-03-02,2026-03-31,0.001,gibibyte,0.000000,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Input - Predictions,1127-99B9-1860,Default,,Usage,2026-03-01,2026-03-01,"122,794",count,0.018416,0.02
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Output - Predictions,DFB0-8442-43A8,Default,,Usage,2026-03-01,2026-03-01,"5,576",count,0.003344,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,Default,,Usage,2026-03-01,2026-03-31,0.026,gibibyte month,0.001325,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to Americas,238B-D94B-7243,Default,,Usage,2026-03-01,2026-03-31,0.002,gibibyte,0.000407,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Cloud Speech API,63DE-82AB-F564,Cloud Speech-to-Text Audio Length Standard,60AE-2FE3-C3D8,Default,,Usage,2026-03-01,2026-03-01,5.383,minute,0.000000,0.00
My Billing Account,016C53-111148-0513AB,GeminiDev,geminidev-479406,3tched.com,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,Default,,Usage,2026-03-01,2026-03-31,0.007,gibibyte,0.000000,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,Default,,Usage,2026-03-01,2026-03-31,0.03,gibibyte,0.000000,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to Americas,238B-D94B-7243,,PROMOTION,Usage,2026-03-01,2026-03-31,,,-0.000407,-0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Output - Predictions,DFB0-8442-43A8,,PROMOTION,Usage,2026-03-01,2026-03-01,,,-0.003344,-0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Input - Predictions,1127-99B9-1860,,PROMOTION,Usage,2026-03-01,2026-03-01,,,-0.018416,-0.02
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - vCPU in Americas,965E-7C36-08E6,Default,,Usage,2026-02-28,2026-03-31,744,hour,30.727200,30.73
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - RAM in Americas,93DA-3F55-CB04,Default,,Usage,2026-02-28,2026-03-31,"2,790",gibibyte hour,19.530000,19.53
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Standard storage in Americas,C18F-7FE0-0717,Default,,Usage,2026-02-28,2026-03-31,10.013,gibibyte month,1.702513,1.70
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,,PROMOTION,Usage,2026-02-28,2026-03-31,,,0.000001,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,Default,,Usage,2026-02-28,2026-03-31,1.962,month,0.000000,0.00
My Billing Account,016C53-111148-0513AB,GeminiDev,geminidev-479406,3tched.com,BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,Default,,Usage,2026-02-28,2026-03-31,2.645,gibibyte month,0.000000,0.00
My Billing Account,016C53-111148-0513AB,GeminiDev,geminidev-479406,3tched.com,Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,Default,,Usage,2026-02-28,2026-03-31,0.693,month,0.000000,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Network Data Transfer to Google Services from Americas to Americas,85F4-8AFC-FF68,Default,,Usage,2026-02-28,2026-03-31,2.898,gibibyte,0.000000,0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,,PROMOTION,Usage,2026-02-28,2026-03-31,,,-0.001326,-0.00
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Standard storage in Americas,C18F-7FE0-0717,,PROMOTION,Usage,2026-02-28,2026-03-31,,,-1.702513,-1.70
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - RAM in Americas,93DA-3F55-CB04,,PROMOTION,Usage,2026-02-28,2026-03-31,,,-19.530000,-19.53
My Billing Account,016C53-111148-0513AB,Vertex Agents,vertex-agents-25338,3tched.com,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - vCPU in Americas,965E-7C36-08E6,,PROMOTION,Usage,2026-02-28,2026-03-31,,,-30.727200,-30.73
,,,,,,,,,,,Total,,,,,0.000000,0.00
