repo_name	repo_path	origin
sgCheckup	/home/jeremy/git/indexed-repos/sgCheckup	https://github.com/goldfiglabs/sgCheckup.git
specification	/home/jeremy/git/indexed-repos/specification	https://github.com/modelcontextprotocol/specification
spire	/home/jeremy/git/indexed-repos/spire	https://github.com/spiffe/spire
sqlx	/home/jeremy/git/indexed-repos/sqlx	https://github.com/launchbadge/sqlx
styleguide	/home/jeremy/git/indexed-repos/styleguide	https://github.com/google/styleguide
temporal	/home/jeremy/git/indexed-repos/temporal	https://github.com/temporalio/temporal
titan	/home/jeremy/git/indexed-repos/titan	https://github.com/Titan-Systems/titan.git
tokio	/home/jeremy/git/indexed-repos/tokio	https://github.com/tokio-rs/tokio
tonic	/home/jeremy/git/indexed-repos/tonic	https://github.com/hyperium/tonic
tower	/home/jeremy/git/indexed-repos/tower	https://github.com/tower-rs/tower
trivy	/home/jeremy/git/indexed-repos/trivy	https://github.com/aquasecurity/trivy
turbo-whisper	/home/jeremy/git/indexed-repos/turbo-whisper	https://github.com/knowall-ai/turbo-whisper.git
turnstile	/home/jeremy/git/indexed-repos/turnstile	https://github.com/chimera-linux/turnstile
typify	/home/jeremy/git/indexed-repos/typify	https://github.com/oxidecomputer/typify
udisks	/home/jeremy/git/indexed-repos/udisks	https://github.com/storaged-project/udisks
upower	/home/jeremy/git/indexed-repos/upower	https://gitlab.freedesktop.org/upower/upower
vault	/home/jeremy/git/indexed-repos/vault	https://github.com/hashicorp/vault
zbus	/home/jeremy/git/indexed-repos/zbus	https://github.com/z-galaxy/zbus
git/json-typedef-spec	/home/jeremy/git/json-typedef-spec	https://github.com/jsontypedef/json-typedef-spec
new-batch/admyral	/home/jeremy/git/new-batch/admyral	https://github.com/Admyral-Technologies/admyral.git
new-batch/automated-security-helper	/home/jeremy/git/new-batch/automated-security-helper	https://github.com/awslabs/automated-security-helper.git
new-batch/core	/home/jeremy/git/new-batch/core	https://github.com/theopenlane/core.git
